,row_id,clean_phrase,category,timestamp,phrase_freq,sentiment_score,matched_product,listing_category,stock_level,final_similarity,used_backup
36,101,singer heavy duty sewing machine,Currently sold,2025-04-07 00:46:16,1,-1,Washing Machine,Home Appliances,6238805,0.5121056,True
37,103,everyday bifl boots,Discussion,2025-04-10 16:29:08,1,1,Boots,Footwear,5578686,0.6110066,False
56,168,tri star vacuum,Vintage,2025-04-13 00:17:43,1,0,Vacuum Cleaner,Home Appliances,6302349,0.53096217,False
58,174,vintage woolrich pants,Vintage,2025-04-09 00:01:58,1,0,Jeans,Apparel,5519182,0.5727923,False
62,189,vintage ll bean trench coat,Discussion,2025-04-05 17:56:22,1,0,Jacket,Apparel,5516002,0.5045548,True
70,221,sperry gold cup boat shoes,Vintage,2025-04-09 20:54:47,1,1,Hiking Shoes,Footwear,5479787,0.61469865,False
83,318,special cloth,👀 Glasses & Contacts,2025-04-01 12:49:33,1,0,Shirt,Apparel,5519141,0.5320802,False
91,426,frugal samsung dishwasher racks,📦 Secondhand,2025-04-14 13:29:34,1,-1,Dishwasher,Home Appliances,6228109,0.6021284,False
97,532,pc,💻 Electronics ,2025-04-08 20:51:54,2,0,Laptop,Electronics,5558643,0.5665069,False
100,575,pantry fridge,🍎 Food ,2025-03-29 15:47:45,1,0,Refrigerator,Home Appliances,6260139,0.86682415,False
104,591,refurbished ipad,📦 Secondhand,2025-04-07 03:30:22,1,0,Tablet,Electronics,5601340,0.6223127,True
107,643,deals carhartt men's loose fit heavyweight short-sleeve pocket t-shirt,clothing & jewelry,2025-04-02 22:10:44,1,0,T-shirt,Apparel,5590599,0.5763241,False
108,644,deals samsung,computers & electronics,2025-04-17 12:00:08,1,0,Smartphone,Electronics,5584861,0.5001874,False
109,645,deals beats solo buds - wireless bluetooth earbuds,computers & electronics,2025-03-24 19:07:33,1,1,Headphones,Electronics,5572988,0.52781224,False
110,645,| apple,computers & electronics,2025-03-24 19:07:33,1,1,Smartphone,Electronics,5584861,0.54677397,True
111,646,"(512gb, unlocked) – ai-powered smartphone",computers & electronics,2025-04-15 22:08:29,1,1,Smartphone,Electronics,5584861,0.59813964,False
112,648,deals anker soundcore sleep a20 earbuds,computers & electronics,2025-04-14 08:01:19,1,0,Headphones,Electronics,5572988,0.51534235,False
113,649,deals sandisk high endurance video 512gb microsdxc card,computers & electronics,2025-04-01 20:51:11,1,0,Camera,Electronics,5576465,0.5458519,True
126,667,deals lee men's extreme comfort canvas cargo pants,clothing & jewelry,2025-03-27 22:16:59,1,1,Jeans,Apparel,5519182,0.529611,False
128,670,-73% acemagic laptop,computers & electronics,2025-04-13 16:54:42,1,0,Laptop,Electronics,5558643,0.6018369,True
131,673,20w usb c charging,computers & electronics,2025-04-05 00:43:16,1,0,Laptop,Electronics,5558643,0.5081267,True
139,685,pc / mac,computers & electronics,2025-03-25 20:07:36,1,0,Laptop,Electronics,5558643,0.5114887,False
142,697,deals apple watch se,computers & electronics,2025-03-27 16:17:26,1,1,Smartwatch,Electronics,5529727,0.5591488,False
145,703,dyson ball animal total clean upright vacuum,computers & electronics,2025-03-29 01:12:41,1,0,Vacuum Cleaner,Home Appliances,6302349,0.59093523,False
147,706,deals dyson ball animal total clean upright vacuum iron/blue,home and garden,2025-04-19 19:20:35,1,0,Vacuum Cleaner,Home Appliances,6302349,0.60658264,False
149,709,gadgets android phones,Phones,2025-04-16 15:58:47,1,1,Smartphone,Electronics,5584861,0.72353554,False
151,710,gadgets samsung,Music,2025-03-22 16:40:35,1,-1,Smartphone,Electronics,5584861,0.6394621,False
158,712,new blade laptops,Desktops / Laptops,2025-04-09 12:29:01,1,0,Laptop,Electronics,5558643,0.5958874,False
159,713,gadgets sony,TV / Projectors,2025-04-12 09:40:08,1,0,Camera,Electronics,5576465,0.5137856,False
162,718,switch 2 camera,Gaming,2025-04-06 08:50:29,1,0,Camera,Electronics,5576465,0.53922105,False
168,730,two or three folding razr smartphones,Phones,2025-04-11 02:07:41,1,0,Smartphone,Electronics,5584861,0.51645094,False
170,730,gadgets motorola,Phones,2025-04-11 02:07:41,1,0,Smartphone,Electronics,5584861,0.6478063,False
174,736,gadgets apple,Wearables,2025-03-24 09:52:34,1,0,Smartphone,Electronics,5584861,0.5083317,False
177,738,ps5 |,Gaming,2025-04-15 13:23:06,1,-1,Gaming Console,Electronics,5606624,0.5233392,True
186,746,gadgets fujifilm's new instax mini 41 instant camera captures better close-ups,Cameras,2025-04-08 11:42:59,1,1,Camera,Electronics,5576465,0.5310917,True
236,873,technology apple,Business,2025-04-03 02:29:25,1,-1,Smartphone,Electronics,5584861,0.5031192,True
252,905,over a million switch 2 consoles,Business,2025-04-10 17:16:10,1,0,Gaming Console,Electronics,5606624,0.5490222,False
